1,20,1,7,13,0.0,9240
1,20,1,7,14,0.0,9317
1,20,1,7,15,0.0,9447
1,20,1,7,16,0.0,10151
1,20,1,7,17,0.0,10207
1,20,1,7,18,0.0,10806
1,20,1,7,19,0.0,10740
1,20,1,7,20,0.0,10558
1,20,1,7,21,0.0,11078
1,27,1,7,0,0.0,12658
1,27,1,7,1,0.0,12705
1,27,1,7,2,0.0,12751
1,27,1,7,3,0.0,12798
1,27,1,7,11,0.0,9684
1,27,1,7,18,0.0,10389
1,27,1,7,19,0.0,10543
1,27,1,7,20,0.0,10697
2,10,1,7,12,0.0,10301
2,10,1,7,13,0.0,10252
2,10,1,7,20,0.0,10465
2,10,1,7,21,0.0,10503
2,10,1,7,22,0.0,12062
2,12,0,2,16,0.25,13282
2,12,0,2,17,0.0,13272
2,12,0,2,18,0.0,13208
2,12,0,2,19,0.0,13153
2,12,0,2,20,0.0,12643
2,12,0,2,21,0.0,13720
2,12,0,2,22,0.0,13762
2,12,0,2,23,0.0,14021
2,17,1,7,0,0.0,11471
2,17,1,7,12,0.0,16274
2,17,1,7,13,0.0,16735
2,17,1,7,14,0.0,17195
2,17,1,7,15,0.0,17656
2,17,1,7,16,0.0,18439
2,17,1,7,17,0.0,19223
2,17,1,7,18,0.0,20006
2,17,1,7,19,0.0,21319
2,17,1,7,20,0.0,20359
2,17,1,7,21,0.0,20748
2,17,1,7,22,0.0,19879
2,17,1,7,23,0.0,22520
2,18,1,1,0,0.0,15581
2,18,1,1,1,0.0,15510
2,18,1,1,2,0.0,15058
2,18,1,1,17,0.0,10149
2,18,1,1,18,0.0,21543
2,18,1,1,19,0.0,21278
2,18,1,1,20,0.0,20827
2,18,1,1,21,0.0,18390
2,26,0,2,11,0.0,9135
2,26,0,2,18,0.0,13124
2,26,0,2,19,0.0,13115
2,26,0,2,20,0.0,13106
2,26,0,2,21,0.0,13096
2,26,0,2,22,0.0,13087
2,26,0,2,23,0.0,14930
3,2,0,6,0,0.0,7966
3,2,0,6,18,0.0,10395
3,2,0,6,19,0.0,10494
3,2,0,6,20,0.0,10663
3,2,0,6,21,0.0,10880
3,2,0,6,22,0.0,11131
3,2,0,6,23,0.0,12054
3,5,0,2,0,0.25,9519
3,5,0,2,12,0.75,11127
3,5,0,2,13,0.25,11798
3,5,0,2,14,0.75,11880
3,5,0,2,15,0.0,12399
3,5,0,2,16,0.0,12396
3,5,0,2,17,0.0,12393
3,5,0,2,18,0.0,12394
3,5,0,2,19,0.0,12400
3,5,0,2,20,0.0,12405
3,5,0,2,21,0.0,12302
3,5,0,2,22,0.0,11603
3,18,1,1,13,0.0,11285
3,18,1,1,14,0.0,11323
3,18,1,1,15,0.0,11360
