18/1/1,2,1
18/1/2,3,0
18/1/3,4,0
18/1/4,5,0
18/1/5,6,0
18/1/6,7,1
18/1/7,1,1
18/1/8,2,0
18/1/9,3,0
18/1/10,4,0
18/1/11,5,0
18/1/12,6,0
18/1/13,7,1
18/1/14,1,1
18/1/15,2,0
18/1/16,3,0
18/1/17,4,0
18/1/18,5,0
18/1/19,6,0
18/1/20,7,1
18/1/21,1,1
18/1/22,2,0
18/1/23,3,0
18/1/24,4,0
18/1/25,5,0
18/1/26,6,0
18/1/27,7,1
18/1/28,1,1
18/1/29,2,0
18/1/30,3,0
18/1/31,4,0
18/2/1,5,0
18/2/2,6,0
18/2/3,7,1
18/2/4,1,1
18/2/5,2,0
18/2/6,3,0
18/2/7,4,0
18/2/8,5,0
18/2/9,6,0
18/2/10,7,1
18/2/11,1,1
18/2/12,2,0
18/2/13,3,0
18/2/14,4,0
18/2/15,5,0
18/2/16,6,0
18/2/17,7,1
18/2/18,1,1
18/2/19,2,0
18/2/20,3,0
18/2/21,4,0
18/2/22,5,0
18/2/23,6,0
18/2/24,7,1
18/2/25,1,1
18/2/26,2,0
18/2/27,3,0
18/2/28,4,0
18/3/1,5,1
18/3/2,6,0
18/3/3,7,1
18/3/4,1,1
18/3/5,2,0
18/3/6,3,0
18/3/7,4,0
18/3/8,5,0
18/3/9,6,0
18/3/10,7,1
18/3/11,1,1
18/3/12,2,0
18/3/13,3,0
18/3/14,4,0
18/3/15,5,0
18/3/16,6,0
18/3/17,7,1
18/3/18,1,1
18/3/19,2,0
18/3/20,3,0
18/3/21,4,0
18/3/22,5,0
18/3/23,6,0
18/3/24,7,1
18/3/25,1,1
18/3/26,2,0
18/3/27,3,0
18/3/28,4,0
18/3/29,5,0
18/3/30,6,0
18/3/31,7,1
18/4/1,1,1
18/4/2,2,0
18/4/3,3,0
18/4/4,4,0
18/4/5,5,0
18/4/6,6,0
18/4/7,7,1
18/4/8,1,1
18/4/9,2,0
18/4/10,3,0
18/4/11,4,0
18/4/12,5,0
18/4/13,6,0
18/4/14,7,1
18/4/15,1,1
18/4/16,2,0
18/4/17,3,0
18/4/18,4,0
18/4/19,5,0
18/4/20,6,0
18/4/21,7,1
18/4/22,1,1
18/4/23,2,0
18/4/24,3,0
18/4/25,4,0
18/4/26,5,0
18/4/27,6,0
18/4/28,7,1
18/4/29,1,1
18/4/30,2,0
18/5/1,3,0
18/5/2,4,0
18/5/3,5,0
18/5/4,6,0
18/5/5,7,1
18/5/6,1,1
18/5/7,2,1
18/5/8,3,0
18/5/9,4,0
18/5/10,5,0
18/5/11,6,0
18/5/12,7,1
18/5/13,1,1
18/5/14,2,0
18/5/15,3,0
18/5/16,4,0
18/5/17,5,0
18/5/18,6,0
18/5/19,7,1
18/5/20,1,1
18/5/21,2,0
18/5/22,3,1
18/5/23,4,0
18/5/24,5,0
18/5/25,6,0
18/5/26,7,1
