101_129,10379
101_145,16792
101_150,16505
101_152,5441
101_159,8903
101_167,10515
101_189,9163
101_190,8303
101_252,14756
101_254,1756
101_261,12439
101_519,12557
101_569,13340
101_579,5559
101_583,11546
101_590,7382
101_602,35639
101_603,4406
101_608,8326
101_612,2930
101_629,14365
101_641,16092
129_101,10471
129_152,5823
129_159,8307
129_189,13551
129_190,10197
129_252,3799
129_254,12004
129_261,7224
129_569,9029
129_579,6058
129_590,7681
129_602,9960
129_603,9253
129_612,7808
129_618,8212
129_622,41461
129_629,3297
129_641,4598
129_685,12346
145_101,14783
145_150,37803
145_152,8419
145_159,8241
145_190,17080
145_261,8782
145_569,7309
145_579,9818
145_590,7378
145_618,9075
145_641,15874
150_101,17353
150_152,10625
150_159,11138
150_190,15841
150_252,58924
150_254,17491
150_261,9249
150_519,5019
150_569,9730
150_579,10506
150_590,9723
150_612,11935
150_618,10649
150_622,25394
150_685,18072
152_101,5694
152_129,5751
152_145,8754
152_150,11227
152_159,2825
152_167,5398
152_189,11311
152_190,5827
152_252,11112
152_254,6656
152_261,7046
152_569,5607
152_579,460
152_583,13425
152_590,2780
152_602,2321
152_603,2577
152_612,4402
152_618,1620
152_629,9237
152_641,10978
152_685,6741
159_101,8173
159_129,8112
159_145,7818
159_150,9574
159_152,2974
159_167,2745
159_189,14397
159_190,8646
159_254,8791
159_261,3560
159_519,7707
159_569,2819
159_579,3120
159_583,16937
159_590,1211
159_602,5939
159_603,4578
159_618,1222
159_641,12502
159_685,9979
167_101,11305
167_152,5627
167_159,2750
167_189,17947
167_190,11727
167_254,10922
167_261,2154
167_569,940
167_579,6335
167_583,19981
167_590,3959
167_602,8055
167_603,7369
167_618,4012
167_685,11420
189_101,9848
189_129,13147
189_152,13133
189_159,15423
189_167,18060
189_190,9962
189_252,22113
189_254,10348
189_569,19421
189_579,12312
189_583,1545
189_590,15657
189_612,12036
189_629,18159
189_651,9707
190_101,7259
190_129,9987
190_145,18282
190_150,14620
190_152,5767
190_159,8688
190_167,12455
190_189,8665
190_252,14134
190_254,7094
190_261,12514
190_519,11820
190_569,12204
190_579,6184
190_583,9666
190_590,8884
190_608,17383
190_612,7649
190_618,10216
190_629,13728
190_641,13598
252_101,15728
252_129,3941
252_150,41016
252_152,10076
252_190,14243
252_254,16951
252_261,11368
252_519,5728
252_579,10686
252_622,2912
252_629,31281
252_641,2122
252_685,17901
254_101,1973
254_129,11513
254_150,16339
254_152,6632
254_159,8584
254_167,10718
254_189,9919
254_190,8127
254_252,17948
254_261,11652
254_569,11204
254_579,7952
254_583,11633
254_590,9073
254_603,4773
254_608,9439
254_612,4018
254_629,14503
254_641,15167
261_101,12500
261_129,7329
261_145,7457
261_150,8706
261_152,6305
261_159,3167
261_189,18896
261_190,13027
261_252,10249
261_254,13642
261_519,6995
261_569,645
261_579,6973
261_590,3761
261_602,14278
261_603,9893
261_618,4567
261_629,12745
261_641,11693
261_685,11761
519_101,11624
519_150,4962
519_159,7478
519_190,12889
519_252,29425
519_261,6831
519_569,6669
519_590,6917
519_618,8197
519_622,52436
519_629,39705
569_101,11151
569_129,7917
569_145,7153
569_150,9462
569_152,7170
569_159,2812
569_167,947
569_189,19942
569_190,12188
569_254,11052
569_261,565
569_519,7011
569_579,6170
569_590,3621
569_602,7989
569_603,8473
569_618,3966
569_641,11436
569_685,11256
579_101,5539
579_129,6342
579_145,9667
579_150,11080
579_152,436
579_159,3080
579_167,5995
579_189,12421
579_190,7295
579_252,10308
579_254,7032
579_261,7144
579_569,6053
579_590,3044
579_602,2017
579_603,1936
579_608,2760
579_629,9426
579_641,10830
579_685,7146
583_101,11452
583_152,12816
583_159,15890
583_167,19157
583_189,1575
583_190,11071
583_254,12161
583_590,17896
583_612,12625
583_651,11039
590_101,8523
590_129,6717
590_145,7594
590_150,9147
590_152,2911
590_159,1281
590_167,4501
590_189,14804
590_190,8949
590_254,9543
590_261,3625
590_519,6937
590_569,3494
590_579,3197
590_583,16536
590_602,6952
590_603,4789
590_618,1308
590_641,13655
590_685,12915
602_101,3131
602_129,7399
602_150,12728
602_152,3542
602_189,13294
602_190,6200
602_254,4005
602_583,13132
602_612,23977
602_629,11333
602_685,3913
603_101,4683
603_129,7058
603_152,1831
603_159,3856
603_167,7390
603_254,5021
603_261,8835
603_569,8208
603_579,1651
603_590,4029
603_602,616
603_608,2338
603_612,23131
603_629,14044
603_685,5122
608_129,7411
608_145,7832
608_150,10560
608_152,1803
608_159,1221
608_167,4057
608_190,9812
608_261,5515
608_519,9070
608_569,3992
608_590,1203
608_618,16478
612_152,2109
612_167,9239
612_579,1944
612_603,596
612_608,2605
618_101,6061
618_152,3406
618_190,12208
618_254,7331
618_579,3087
618_602,2860
618_603,2339
618_608,24956
618_612,23964
618_685,7507
622_101,11183
622_129,595
622_152,6729
622_189,14024
622_190,11012
622_254,12902
622_261,8455
622_569,7333
622_579,7353
622_602,8878
622_612,8632
622_685,13610
629_252,220
629_261,9790
629_641,2090
641_101,15413
641_129,4356
641_152,10582
641_159,12820
641_190,14537
641_252,2090
641_254,20120
641_261,11833
641_569,11789
641_579,10721
641_590,12224
641_618,13980
641_622,5645
641_651,76011
641_685,18398
